timestamp,temp,humidity,mic_peak
1745243466331,32,23.2,0
1745243469080,32.3,20,328
1745243471099,32.4,42.4,0
1745243473124,32.4,20,0
1745243475148,32.4,32,0
1745243477172,32.4,20,598
1745243479215,32.4,42.4,0
1745243481223,32.2,23.2,0
1745243483265,32.4,20,0
1745243485273,32.4,20,0
1745243487314,32.5,20,0
1745243489324,32.4,20,0
1745243491369,32.4,20,0
1745243493372,32.4,20,0
1745243495417,32.4,20,0
1745243497423,32.4,23.1,0
1745243499467,32.5,16.4,0
1745243502607,32.5,25.7,290
1745243504642,32.5,23,0
1745243506660,32.5,23,0
1745243508691,32.5,23,0
1745243510708,32.5,25.7,1210
1745243512736,32.5,20,0
1745243514759,32.5,20,0
